LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
General Fund,Police Chiefs Office Total,,,,,"2,440,738","2,485,773","2,728,043","2,728,043",2
General Fund,Police Chiefs Office,Capital Equipment,,,,"3,000","3,000","3,000","3,000",3
General Fund,Police Chiefs Office,Direct Expenses,,,,"59,575","82,306","95,350","95,350",3
General Fund,Police Chiefs Office,Employee Benefits,,,,"512,941","528,488","583,424","583,424",3
General Fund,Police Chiefs Office,Miscellaneous,,,,"19,500","37,000","40,000","40,000",3
General Fund,Police Chiefs Office,Salaries and Wages,,,,"1,845,722","1,834,979","2,006,269","2,006,269",3
General Fund,Police Detective Division Total,,,,,"18,751,541","18,815,889","18,921,557","18,921,557",2
General Fund,Police Detective Division,Capital Equipment,,,,"3,930","17,930","17,930","17,930",3
General Fund,Police Detective Division,Direct Expenses,,,,"1,014,926","1,035,699","1,007,380","1,007,380",3
General Fund,Police Detective Division,Employee Benefits,,,,"4,290,327","4,303,153","4,302,359","4,302,359",3
General Fund,Police Detective Division,Miscellaneous,,,,"20,500","53,500","53,500","53,500",3
General Fund,Police Detective Division,Salaries and Wages,,,,"13,421,858","13,405,607","13,540,388","13,540,388",3
General Fund,Police Field Operations Total,,,,,"41,379,165","41,488,256","42,411,999","42,411,999",2
General Fund,Police Field Operations,Capital Equipment,,,,"300,000","250,000","90,000","90,000",3
General Fund,Police Field Operations,Direct Expenses,,,,"3,767,116","3,452,476","3,751,957","3,751,957",3
General Fund,Police Field Operations,Employee Benefits,,,,"9,206,442","9,462,641","9,483,572","9,483,572",3
General Fund,Police Field Operations,Miscellaneous,,,,"3,000","28,000","28,000","28,000",3
General Fund,Police Field Operations,Salaries and Wages,,,,"28,102,607","28,295,139","29,058,470","29,058,470",3
General Fund,Police Special Operations Total,,,,,"8,690,721","9,086,456","9,206,925","9,206,925",2
General Fund,Police Special Operations,Capital Equipment,,,,"45,535","45,535","26,035","26,035",3
General Fund,Police Special Operations,Direct Expenses,,,,"1,234,933","1,181,284","1,236,025","1,236,025",3
General Fund,Police Special Operations,Employee Benefits,,,,"1,583,669","1,692,847","1,688,646","1,688,646",3
General Fund,Police Special Operations,Miscellaneous,,,,"8,500","33,500","33,500","33,500",3
General Fund,Police Special Operations,Other Expense,,,,"775,000","775,000","775,000","775,000",3
General Fund,Police Special Operations,Salaries and Wages,,,,"5,043,084","5,358,290","5,447,719","5,447,719",3
General Fund,PRCR - Business Process Mgmt Total,,,,,,,"2,644,721","2,644,721",2
General Fund,PRCR - Business Process Mgmt,Direct Expenses,,,,,,"553,011","553,011",3
General Fund,PRCR - Business Process Mgmt,Employee Benefits,,,,,,"251,906","251,906",3
General Fund,PRCR - Business Process Mgmt,Miscellaneous,,,,,,"48,000","48,000",3
General Fund,PRCR - Business Process Mgmt,Other Expense,,,,,,"887,873","887,873",3
General Fund,PRCR - Business Process Mgmt,Salaries and Wages,,,,,,"903,931","903,931",3
General Fund,PRCR - F&O - City Fac Maint Total,,,,,,,"5,511,791","5,511,791",2
General Fund,PRCR - F&O - City Fac Maint,Capital Equipment,,,,,,"85,800","85,800",3
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,,,,,,"3,004,903","3,004,903",3
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,,,,,,"545,635","545,635",3
General Fund,PRCR - F&O - City Fac Maint,Interfund Transfers In/Out,,,,,,"73,837","73,837",3
General Fund,PRCR - F&O - City Fac Maint,Miscellaneous,,,,,,"5,436","5,436",3
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,,,,,,"1,796,180","1,796,180",3
General Fund,PRCR - F&O - Park Fac Maint Total,,,,,,,"5,808,073","5,808,073",2
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,,,,,,"3,362,649","3,362,649",3
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,,,,,,"405,150","405,150",3
General Fund,PRCR - F&O - Park Fac Maint,Interfund Transfers In/Out,,,,,,"742,712","742,712",3
General Fund,PRCR - F&O - Park Fac Maint,Miscellaneous,,,,,,"2,544","2,544",3
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,,,,,,"1,295,018","1,295,018",3
General Fund,PRCR - Parks - Cemetery Maint Total,,,,,,,"285,822","285,822",2
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,,,,,,"63,444","63,444",3
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,,,,,,"53,290","53,290",3
General Fund,PRCR - Parks - Cemetery Maint,Salaries and Wages,,,,,,"169,088","169,088",3
General Fund,PRCR - Parks - Greenway Maint Total,,,,,,,"1,839,173","1,839,173",2
General Fund,PRCR - Parks - Greenway Maint,Capital Equipment,,,,,,"44,166","44,166",3
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,,,,,,"324,545","324,545",3
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,,,,,,"388,169","388,169",3
General Fund,PRCR - Parks - Greenway Maint,Miscellaneous,,,,,,"1,100","1,100",3
General Fund,PRCR - Parks - Greenway Maint,Salaries and Wages,,,,,,"1,081,193","1,081,193",3
General Fund,PRCR - Parks - Highway Maint Total,,,,,,,"1,907,500","1,907,500",2
General Fund,PRCR - Parks - Highway Maint,Capital Equipment,,,,,,"22,118","22,118",3
General Fund,PRCR - Parks - Highway Maint,Direct Expenses,,,,,,"586,571","586,571",3
General Fund,PRCR - Parks - Highway Maint,Employee Benefits,,,,,,"331,039","331,039",3
General Fund,PRCR - Parks - Highway Maint,Miscellaneous,,,,,,"3,680","3,680",3
General Fund,PRCR - Parks - Highway Maint,Salaries and Wages,,,,,,"964,092","964,092",3
General Fund,PRCR - Parks - Urban Trees Total,,,,,,,"1,423,598","1,423,598",2
General Fund,PRCR - Parks - Urban Trees,Capital Equipment,,,,,,"2,500","2,500",3
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,,,,,,"402,136","402,136",3
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,,,,,,"246,977","246,977",3
General Fund,PRCR - Parks - Urban Trees,Miscellaneous,,,,,,"8,874","8,874",3
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,,,,,,"763,111","763,111",3
General Fund,PRCR - Parks -Park Maintenance Total,,,,,,,"8,469,386","8,469,386",2
General Fund,PRCR - Parks -Park Maintenance,Capital Equipment,,,,,,"45,125","45,125",3
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,,,,,,"1,811,622","1,811,622",3
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,,,,,,"1,532,735","1,532,735",3
General Fund,PRCR - Parks -Park Maintenance,Miscellaneous,,,,,,"68,300","68,300",3
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,,,,,,"5,011,604","5,011,604",3
General Fund,PRCR - Recreation Total,,,,,,,"13,320,340","13,320,340",2
General Fund,PRCR - Recreation,Direct Expenses,,,,,,"2,195,196","2,195,196",3
General Fund,PRCR - Recreation,Employee Benefits,,,,,,"2,027,050","2,027,050",3
General Fund,PRCR - Recreation,Miscellaneous,,,,,,"71,307","71,307",3
General Fund,PRCR - Recreation,Salaries and Wages,,,,,,"9,026,787","9,026,787",3
General Fund,PRCR - Recreation-School Based Total,,,,,,,"1,528,299","1,528,299",2
General Fund,PRCR - Recreation-School Based,Direct Expenses,,,,,,"235,609","235,609",3
General Fund,PRCR - Recreation-School Based,Employee Benefits,,,,,,"209,642","209,642",3
General Fund,PRCR - Recreation-School Based,Miscellaneous,,,,,,"8,500","8,500",3
General Fund,PRCR - Recreation-School Based,Other Expense,,,,,,"2,000","2,000",3
General Fund,PRCR - Recreation-School Based,Salaries and Wages,,,,,,"1,072,548","1,072,548",3
General Fund,PRCR - Resources Total,,,,,,,"5,111,456","5,111,456",2
General Fund,PRCR - Resources,Capital Equipment,,,,,,"12,428","12,428",3
General Fund,PRCR - Resources,Direct Expenses,,,,,,"719,242","719,242",3
General Fund,PRCR - Resources,Employee Benefits,,,,,,"788,544","788,544",3
General Fund,PRCR - Resources,Miscellaneous,,,,,,"160,894","160,894",3
General Fund,PRCR - Resources,Salaries and Wages,,,,,,"3,430,348","3,430,348",3
General Fund,PRCR - Strategic Plan & Devel Total,,,,,,,"2,860,992","2,860,992",2
General Fund,PRCR - Strategic Plan & Devel,Direct Expenses,,,,,,"559,637","559,637",3
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,,,,,,"506,064","506,064",3
General Fund,PRCR - Strategic Plan & Devel,Miscellaneous,,,,,,"24,909","24,909",3
General Fund,PRCR - Strategic Plan & Devel,Salaries and Wages,,,,,,"1,770,382","1,770,382",3
General Fund,Public Affairs Total,,,,,"1,072,699","1,217,433","1,181,127","1,181,127",2
General Fund,Public Affairs,Capital Equipment,,,,"17,000","17,000","17,000","17,000",3
General Fund,Public Affairs,Direct Expenses,,,,"130,065","168,645","165,545","165,545",3
General Fund,Public Affairs,Employee Benefits,,,,"190,496","199,845","208,798","208,798",3
General Fund,Public Affairs,Miscellaneous,,,,"38,000","83,170","35,370","35,370",3
General Fund,Public Affairs,Other Expense,,,,"7,213","11,348",,,3
General Fund,Public Affairs,Salaries and Wages,,,,"689,925","737,425","754,414","754,414",3
General Fund,Public Affairs-Rtn Total,,,,,"655,053","678,623","683,717","683,717",2
General Fund,Public Affairs-Rtn,Direct Expenses,,,,"114,557","114,557","110,812","110,812",3
General Fund,Public Affairs-Rtn,Employee Benefits,,,,"117,605","125,443","123,584","123,584",3
General Fund,Public Affairs-Rtn,Miscellaneous,,,,"6,200","6,200","6,500","6,500",3
General Fund,Public Affairs-Rtn,Salaries and Wages,,,,"416,691","432,423","442,821","442,821",3
General Fund,Public Works Total,,,,,"13,443,983","13,728,971","14,383,485","14,383,485",2
General Fund,Public Works,Capital Equipment,,,,"5,000","18,000","10,500","10,500",3
General Fund,Public Works,Direct Expenses,,,,"7,001,509","7,030,221","7,362,137","7,362,137",3
General Fund,Public Works,Employee Benefits,,,,"1,417,663","1,473,991","1,526,812","1,526,812",3
General Fund,Public Works,Interfund Transfers In/Out,,,,"2,100","1,100","1,100","1,100",3
General Fund,Public Works,Miscellaneous,,,,"51,215","56,323","73,850","73,850",3
General Fund,Public Works,Other Expense,,,,"221,161","294,538","550,863","550,863",3
General Fund,Public Works,Salaries and Wages,,,,"4,745,335","4,854,798","4,858,223","4,858,223",3
General Fund,Purchasing Total,,,,,"554,548","566,855","575,523","575,523",2
General Fund,Purchasing,Direct Expenses,,,,"17,356","17,163","19,500","19,500",3
General Fund,Purchasing,Employee Benefits,,,,"116,834","116,624","113,460","113,460",3
General Fund,Purchasing,Miscellaneous,,,,"6,622","8,122","13,700","13,700",3
General Fund,Purchasing,Salaries and Wages,,,,"413,736","424,946","428,863","428,863",3
General Fund,PW-Safelight Total,,,,,"891,619","894,949","778,249","778,249",2
General Fund,PW-Safelight,Direct Expenses,,,,"796,537","796,501","667,453","667,453",3
General Fund,PW-Safelight,Employee Benefits,,,,"21,063","21,405","22,465","22,465",3
General Fund,PW-Safelight,Miscellaneous,,,,"16,500","16,500","16,500","16,500",3
General Fund,PW-Safelight,Other Expense,,,,"1,788","3,278",,,3
General Fund,PW-Safelight,Salaries and Wages,,,,"55,731","57,265","71,831","71,831",3
General Fund,Revenue Total,,,,,"1,251,566","1,309,094","1,316,355","1,316,355",2
General Fund,Revenue,Direct Expenses,,,,"185,685","206,718","249,738","249,738",3
General Fund,Revenue,Employee Benefits,,,,"235,776","237,567","233,939","233,939",3
General Fund,Revenue,Miscellaneous,,,,"8,508","16,008","19,500","19,500",3
General Fund,Revenue,Salaries and Wages,,,,"821,597","848,801","813,178","813,178",3
General Fund,School Based Programs Total,,,,,"1,578,788","1,598,585",,,2
General Fund,School Based Programs,Direct Expenses,,,,"257,578","257,829",,,3
General Fund,School Based Programs,Employee Benefits,,,,"157,138","164,431",,,3
General Fund,School Based Programs,Miscellaneous,,,,"11,900","9,000",,,3
General Fund,School Based Programs,Other Expense,,,,"1,000","1,250",,,3
General Fund,School Based Programs,Salaries and Wages,,,,"1,151,172","1,166,075",,,3
General Fund,Special Appropriations Total,,,,,"102,979,986","119,314,048","120,116,435","120,116,435",2
General Fund,Special Appropriations,Direct Expenses,,,,"2,315,705","2,557,388","2,623,744","2,623,744",3
General Fund,Special Appropriations,Employee Benefits,,,,"9,916,639","10,638,882","9,969,189","9,969,189",3
General Fund,Special Appropriations,Interfund Transfers In/Out,,,,"86,642,724","102,571,646","103,872,339","103,872,339",3
General Fund,Special Appropriations,Miscellaneous,,,,"558,810","558,810","293,785","293,785",3
General Fund,Special Appropriations,Other Expense,,,,"3,546,108","2,987,322","3,357,378","3,357,378",3
General Fund,Stormwater Street Maintenance Total,,,,,"3,042,121","3,088,538","2,980,893","2,980,893",2
General Fund,Stormwater Street Maintenance,Capital Equipment,,,,"5,500","5,500","2,500","2,500",3
General Fund,Stormwater Street Maintenance,Direct Expenses,,,,"848,530","862,870","760,025","760,025",3
General Fund,Stormwater Street Maintenance,Employee Benefits,,,,"581,334","532,131","541,635","541,635",3
General Fund,Stormwater Street Maintenance,Miscellaneous,,,,"12,360","12,360","7,000","7,000",3
General Fund,Stormwater Street Maintenance,Other Expense,,,,"5,746","64,072","56,801","56,801",3
General Fund,Stormwater Street Maintenance,Salaries and Wages,,,,"1,588,651","1,611,605","1,612,932","1,612,932",3
General Fund,Street Maintenance Total,,,,,"9,071,686","9,262,603","10,638,026","10,638,026",2
General Fund,Street Maintenance,Capital Equipment,,,,"57,000","41,000","36,000","36,000",3
General Fund,Street Maintenance,Direct Expenses,,,,"3,315,367","3,297,848","4,419,639","4,419,639",3
General Fund,Street Maintenance,Employee Benefits,,,,"1,306,278","1,349,696","1,493,795","1,493,795",3
General Fund,Street Maintenance,Interfund Transfers In/Out,,,,"17,450","16,950","16,950","16,950",3
General Fund,Street Maintenance,Miscellaneous,,,,"97,678","94,700","101,000","101,000",3
General Fund,Street Maintenance,Other Expense,,,,"174,143","240,137",,,3
General Fund,Street Maintenance,Salaries and Wages,,,,"4,103,770","4,222,272","4,570,642","4,570,642",3
General Fund,Treasury Office Total,,,,,"629,652","650,936","669,717","669,717",2
General Fund,Treasury Office,Direct Expenses,,,,"173,066","182,687","181,600","181,600",3
General Fund,Treasury Office,Employee Benefits,,,,"95,093","95,990","103,542","103,542",3
General Fund,Treasury Office,Miscellaneous,,,,"5,295","6,595","7,600","7,600",3
General Fund,Treasury Office,Salaries and Wages,,,,"356,198","365,664","376,975","376,975",3
General Fund,Urban Trees Total,,,,,"1,263,891","1,314,682",,,2
General Fund,Urban Trees,Capital Equipment,,,,"1,200",,,,3
General Fund,Urban Trees,Direct Expenses,,,,"337,849","344,582",,,3
General Fund,Urban Trees,Employee Benefits,,,,"219,989","231,758",,,3
General Fund,Urban Trees,Miscellaneous,,,,"9,300","7,900",,,3
General Fund,Urban Trees,Salaries and Wages,,,,"695,553","730,442",,,3
General Fund,Utility Billing Svcs Total,,,,,"5,728,735",,,,2
General Fund,Utility Billing Svcs,Direct Expenses,,,,"2,271,688",,,,3
General Fund,Utility Billing Svcs,Employee Benefits,,,,"615,501",,,,3
General Fund,Utility Billing Svcs,Miscellaneous,,,,"754,024",,,,3
General Fund,Utility Billing Svcs,Other Expense,,,,"12,468",,,,3
General Fund,Utility Billing Svcs,Salaries and Wages,,,,"2,075,054",,,,3
Home Grant Total,,,,,,,,"1,725,309","1,725,309",1
Home Grant,Community Development Total,,,,,,,"1,725,309","1,725,309",2
Home Grant,Community Development,Employee Benefits,,,,,,"23,449","23,449",3
Home Grant,Community Development,Interfund Transfers In/Out,,,,,,"18,930","18,930",3
Home Grant,Community Development,Other Expense,,,,,,"1,596,925","1,596,925",3
Home Grant,Community Development,Salaries and Wages,,,,,,"86,005","86,005",3
Housing Development-Operating Total,,,,,,"1,083,483","1,225,229","1,545,031","1,545,031",1
Housing Development-Operating,Community Development Total,,,,,"1,083,483","1,225,229","1,545,031","1,545,031",2
Housing Development-Operating,Community Development,Capital Equipment,,,,300,300,300,300,3
Housing Development-Operating,Community Development,Direct Expenses,,,,"126,990","226,405","174,954","174,954",3
Housing Development-Operating,Community Development,Employee Benefits,,,,"246,735","250,804","-500,529","-500,529",3
Housing Development-Operating,Community Development,Interfund Transfers In/Out,,,,"31,536","31,807","295,861","295,861",3
Housing Development-Operating,Community Development,Miscellaneous,,,,"13,860","28,141","19,210","19,210",3
Housing Development-Operating,Community Development,Other Expense,,,,"12,663","11,161","195,000","195,000",3
Housing Development-Operating,Community Development,Salaries and Wages,,,,"651,399","676,611","1,360,235","1,360,235",3
Housing Development-Projects Total,,,,,,"615,349","336,573","500,000","500,000",1
Housing Development-Projects,Community Development Total,,,,,"615,349","336,573","500,000","500,000",2
Housing Development-Projects,Community Development,Direct Expenses,,,,"51,200","59,220",,,3
Housing Development-Projects,Community Development,Interfund Transfers In/Out,,,,"69,517","69,853","500,000","500,000",3
Housing Development-Projects,Community Development,Other Expense,,,,"494,632","207,500",,,3
Parking Debt Service Fund Total,,,,,,"7,925,000","7,875,000","7,725,000","7,725,000",1
Parking Debt Service Fund,Treasury Office Total,,,,,"7,925,000","7,875,000","7,725,000","7,725,000",2
Parking Debt Service Fund,Treasury Office,Capital Project Expense,,,,"7,230,000","7,355,000","7,205,000","7,205,000",3
Parking Debt Service Fund,Treasury Office,Direct Expenses,,,,"555,000","380,000","380,000","380,000",3
Parking Debt Service Fund,Treasury Office,Interfund Transfers In/Out,,,,"140,000","140,000","140,000","140,000",3
Parking Facilities Fund-Operat Total,,,,,,"14,816,191","15,198,466","16,017,222","16,017,222",1
Parking Facilities Fund-Operat,Parking Operations Total,,,,,"14,816,191","15,198,466","16,017,222","16,017,222",2
Parking Facilities Fund-Operat,Parking Operations,Capital Equipment,,,,"14,700","15,300","28,010","28,010",3
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,,,,"3,941,201","4,634,004","4,616,046","4,616,046",3
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,,,,"503,075","451,041","551,777","551,777",3
Parking Facilities Fund-Operat,Parking Operations,Interfund Transfers In/Out,,,,"8,843,186","8,495,336","8,939,984","8,939,984",3
Parking Facilities Fund-Operat,Parking Operations,Miscellaneous,,,,"230,927","235,400","236,100","236,100",3
Parking Facilities Fund-Operat,Parking Operations,Other Expense,,,,"86,710","113,164","181,907","181,907",3
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,,,,"1,196,392","1,254,221","1,463,398","1,463,398",3
Public Transit Fund-Operating Total,,,,,,"26,155,992","26,660,662","27,280,013","27,280,013",1
Public Transit Fund-Operating,Accessible Raleigh Transit Total,,,,,"8,037,074","8,052,583","8,059,982","8,059,982",2
Public Transit Fund-Operating,Accessible Raleigh Transit,Direct Expenses,,,,"7,729,516","7,727,257","7,731,880","7,731,880",3
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,,,,"69,760","72,358","81,713","81,713",3
Public Transit Fund-Operating,Accessible Raleigh Transit,Miscellaneous,,,,"1,250","1,000","1,250","1,250",3
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,,,,"8,220","19,017","6,439","6,439",3
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,,,,"228,328","232,951","238,700","238,700",3
Public Transit Fund-Operating,Transit Operations Total,,,,,"18,118,918","18,608,079","19,220,031","19,220,031",2
Public Transit Fund-Operating,Transit Operations,Direct Expenses,,,,"1,616,368","1,327,845","1,368,542","1,368,542",3
Public Transit Fund-Operating,Transit Operations,Employee Benefits,,,,"65,852","96,314","72,173","72,173",3
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,,,,"1,023,414","798,974","575,099","575,099",3
Public Transit Fund-Operating,Transit Operations,Miscellaneous,,,,"15,241,840","16,129,074","16,959,719","16,959,719",3
Public Transit Fund-Operating,Transit Operations,Other Expense,,,,"5,994","86,536","70,202","70,202",3
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,,,,"165,450","169,336","174,296","174,296",3
Public Utilities Fund Total,,,,,,"190,120,430","199,092,077","207,656,634","207,656,634",1
Public Utilities Fund,PU Capital Improvement Mgmt Total,,,,,"2,140,001","2,363,458","2,607,557","2,607,557",2
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,,,,"148,985","140,653","180,655","180,655",3
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,,,,"430,002","478,737","514,118","514,118",3
Public Utilities Fund,PU Capital Improvement Mgmt,Miscellaneous,,,,"53,500","53,500","53,500","53,500",3
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,,,,"1,507,514","1,690,568","1,859,284","1,859,284",3
Public Utilities Fund,PU Facilities Support Total,,,,,"2,628,057","2,430,141","2,515,552","2,515,552",2
Public Utilities Fund,PU Facilities Support,Direct Expenses,,,,"1,684,264","1,656,311","1,713,174","1,713,174",3
Public Utilities Fund,PU Facilities Support,Employee Benefits,,,,"213,748","193,350","196,858","196,858",3
Public Utilities Fund,PU Facilities Support,Miscellaneous,,,,"137,000","22,000","30,546","30,546",3
Public Utilities Fund,PU Facilities Support,Salaries and Wages,,,,"593,045","558,480","574,974","574,974",3
Public Utilities Fund,PU Meters Total,,,,,"5,479,666","5,558,585","5,688,331","5,688,331",2
Public Utilities Fund,PU Meters,Capital Equipment,,,,"10,000","10,000","10,000","10,000",3
Public Utilities Fund,PU Meters,Direct Expenses,,,,"1,100,492","1,018,506","1,105,267","1,105,267",3
Public Utilities Fund,PU Meters,Employee Benefits,,,,"1,053,040","1,094,376","1,134,902","1,134,902",3
Public Utilities Fund,PU Meters,Miscellaneous,,,,"7,500","30,367","47,327","47,327",3
Public Utilities Fund,PU Meters,Salaries and Wages,,,,"3,308,634","3,405,336","3,390,835","3,390,835",3
Public Utilities Fund,PU Re-use Operations Total,,,,,"4,865,195",,,,2
Public Utilities Fund,PU Re-use Operations,Capital Equipment,,,,"29,500",,,,3
Public Utilities Fund,PU Re-use Operations,Direct Expenses,,,,"3,082,493",,,,3
Public Utilities Fund,PU Re-use Operations,Employee Benefits,,,,"392,768",,,,3
Public Utilities Fund,PU Re-use Operations,Miscellaneous,,,,"66,000",,,,3
Public Utilities Fund,PU Re-use Operations,Salaries and Wages,,,,"1,294,434",,,,3
Public Utilities Fund,PU Sewer Maintenance Total,,,,,"10,788,328","10,248,046","11,009,556","11,009,556",2
Public Utilities Fund,PU Sewer Maintenance,Capital Equipment,,,,"240,435","181,200","250,350","250,350",3
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,,,,"3,041,011","3,179,997","3,867,028","3,867,028",3
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,,,,"1,595,655","1,583,404","1,598,188","1,598,188",3
Public Utilities Fund,PU Sewer Maintenance,Interfund Transfers In/Out,,,,"1,320,000","540,000","540,000","540,000",3
Public Utilities Fund,PU Sewer Maintenance,Miscellaneous,,,,"26,400","101,790","131,000","131,000",3
Public Utilities Fund,PU Sewer Maintenance,Salaries and Wages,,,,"4,564,827","4,661,655","4,622,990","4,622,990",3
Public Utilities Fund,PU Utility Billing Total,,,,,,"5,567,454","5,655,035","5,655,035",2
Public Utilities Fund,PU Utility Billing,Direct Expenses,,,,,"1,603,021","1,688,480","1,688,480",3
Public Utilities Fund,PU Utility Billing,Employee Benefits,,,,,"786,778","794,960","794,960",3
Public Utilities Fund,PU Utility Billing,Miscellaneous,,,,,"778,075","790,575","790,575",3
Public Utilities Fund,PU Utility Billing,Salaries and Wages,,,,,"2,399,580","2,381,020","2,381,020",3
Public Utilities Fund,PU Water Distribution Total,,,,,"7,978,771","9,247,177","9,710,131","9,710,131",2
Public Utilities Fund,PU Water Distribution,Capital Equipment,,,,"89,700","155,290","180,290","180,290",3
Public Utilities Fund,PU Water Distribution,Direct Expenses,,,,"1,769,013","2,495,075","2,662,555","2,662,555",3
Public Utilities Fund,PU Water Distribution,Employee Benefits,,,,"1,533,326","1,380,442","1,412,844","1,412,844",3
Public Utilities Fund,PU Water Distribution,Interfund Transfers In/Out,,,,,"780,000","780,000","780,000",3
Public Utilities Fund,PU Water Distribution,Miscellaneous,,,,"62,000","112,615","120,649","120,649",3
Public Utilities Fund,PU Water Distribution,Salaries and Wages,,,,"4,524,732","4,323,755","4,553,793","4,553,793",3
Public Utilities Fund,PU Water Plant Total,,,,,"21,182,702","21,307,613","20,207,593","20,207,593",2
Public Utilities Fund,PU Water Plant,Capital Equipment,,,,"406,982","329,075","321,100","321,100",3
Public Utilities Fund,PU Water Plant,Direct Expenses,,,,"14,263,142","14,318,449","13,191,165","13,191,165",3
Public Utilities Fund,PU Water Plant,Employee Benefits,,,,"1,340,648","1,334,284","1,380,330","1,380,330",3
Public Utilities Fund,PU Water Plant,Miscellaneous,,,,"108,000","108,000","108,000","108,000",3
Public Utilities Fund,PU Water Plant,Other Expense,,,,"800,000","800,000","800,000","800,000",3
Public Utilities Fund,PU Water Plant,Salaries and Wages,,,,"4,263,930","4,417,805","4,406,998","4,406,998",3
Public Utilities Fund,Public Utilities Admin Total,,,,,"6,009,360","7,337,483","7,808,646","7,808,646",2
Public Utilities Fund,Public Utilities Admin,Capital Equipment,,,,"17,500","17,500","17,500","17,500",3
Public Utilities Fund,Public Utilities Admin,Direct Expenses,,,,"2,048,278","2,716,956","2,994,790","2,994,790",3
Public Utilities Fund,Public Utilities Admin,Employee Benefits,,,,"605,932","748,735","776,039","776,039",3
Public Utilities Fund,Public Utilities Admin,Interfund Transfers In/Out,,,,"15,230","15,230","20,230","20,230",3
Public Utilities Fund,Public Utilities Admin,Miscellaneous,,,,"976,500","1,033,500","1,018,500","1,018,500",3
Public Utilities Fund,Public Utilities Admin,Other Expense,,,,,,"5,000","5,000",3
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,,,,"2,345,920","2,805,562","2,976,587","2,976,587",3
Public Utilities Fund,Public Utilities-Spec Appropriations Total,,,,,"112,152,650","112,997,423","120,702,702","120,702,702",2
Public Utilities Fund,Public Utilities-Spec Appropriations,Capital Equipment,,,,"400,000",,,,3
Public Utilities Fund,Public Utilities-Spec Appropriations,Capital Project Expense,,,,"10,000","10,000","10,000","10,000",3
Public Utilities Fund,Public Utilities-Spec Appropriations,Direct Expenses,,,,"10,260,099","8,844,305","19,902,000","19,902,000",3
Public Utilities Fund,Public Utilities-Spec Appropriations,Employee Benefits,,,,"2,064,438","2,227,903","2,328,822","2,328,822",3
Public Utilities Fund,Public Utilities-Spec Appropriations,Interfund Transfers In/Out,,,,"95,737,174","98,719,401","94,950,600","94,950,600",3
Public Utilities Fund,Public Utilities-Spec Appropriations,Miscellaneous,,,,"500,000","500,000",,,3
Public Utilities Fund,Public Utilities-Spec Appropriations,Other Expense,,,,"3,180,939","2,695,814","2,611,280","2,611,280",3
Public Utilities Fund,Public Utilities-Spec Appropriations,Salaries and Wages,,,,,,"900,000","900,000",3
Public Utilities Fund,Resource Recovery Total,,,,,"16,895,700","22,034,697","21,751,531","21,751,531",2
Public Utilities Fund,Resource Recovery,Capital Equipment,,,,"272,500","292,500","253,500","253,500",3
Public Utilities Fund,Resource Recovery,Direct Expenses,,,,"10,441,086","13,729,454","13,516,242","13,516,242",3
Public Utilities Fund,Resource Recovery,Employee Benefits,,,,"1,342,497","1,734,319","1,723,758","1,723,758",3
Public Utilities Fund,Resource Recovery,Miscellaneous,,,,"266,500","326,500","354,500","354,500",3
Public Utilities Fund,Resource Recovery,Salaries and Wages,,,,"4,573,117","5,951,924","5,903,531","5,903,531",3
RCC/PAC Debt Svc Fund Total,,,,,,"11,166,170","11,198,970","18,483,000","18,483,000",1
RCC/PAC Debt Svc Fund,Treasury Office Total,,,,,"11,166,170","11,198,970","18,483,000","18,483,000",2
